#Sample rate: 4000Hz
#Samples: 8000

Time (s),Channel 1 (V)
-1,0.9368140526206887
-0.99975,0.9368140526206887
-0.9995000000000001,0.9354829846170197
-0.99925,0.9507902666592142
-0.999,0.9717545877170022
-0.99875,0.9714218207160848
-0.9985000000000001,0.9740839567234231
-0.99825,0.9867291027582793
-0.998,1.017010899841751
-0.99775,1.015014297836247
-0.9975000000000001,1.017010899841751
-0.99725,1.02932327887569
-0.997,1.057275706952741
-0.99675,1.058939541957327
-0.9965000000000001,1.05860677495641
-0.99625,1.070253619988514
-0.996,1.100535417071986
-0.99575,1.102199252076572
-0.9955000000000001,1.100535417071986
-0.99525,1.111183961101338
-0.995,1.147122797200404
-0.99475,1.147455564201321
-0.9945000000000001,1.146790030199486
-0.99425,1.15610750622517
-0.994,1.190049740318731
-0.99375,1.191048041321483
-0.9935,1.190382507319649
-0.99325,1.196039546335242
-0.993,1.238633722452653
-0.99275,1.237302654448984
-0.9925,1.238633722452653
-0.99225,1.241295858459991
-0.992,1.280229597567312
-0.99175,1.281560665570981
-0.9915,1.281893432571898
-0.99125,1.285221102581071
-0.991,1.32548590969206
-0.99075,1.328813579701233
-0.9905,1.327482511697564
-0.99025,1.326484210694812
-0.99,1.371740522819561
-0.98975,1.371740522819561
-0.9895,1.372073289820478
-0.98925,1.371407755818644
-0.989,1.413669164935137
-0.98875,1.415665766940641
-0.9885,1.415665766940641
-0.98825,1.415000232938806
-0.988,1.454266739047044
-0.98775,1.460256545063555
-0.9875,1.461254846066307
-0.98725,1.461920380068141
-0.987,1.491536643149778
-0.98675,1.500188585173627
-0.9865,1.500854119175462
-0.98625,1.501519653177296
-0.986,1.537791256277279
-0.98575,1.544113829294707
-0.9855,1.546110431300211
-0.98525,1.547108732302962
-0.985,1.581716500398358
-0.98475,1.599020384446057
-0.9845,1.596358248438718
-0.98425,1.594361646433215
-0.984,1.634293686543287
-0.98375,1.646938832578144
-0.9835,1.649600968585482
-0.98325,1.649933735586399
-0.983,1.669234221639601
-0.98275,1.679882765668953
-0.9825,1.678884464666202
-0.98225,1.679882765668953
-0.982,1.698850484721238
-0.98175,1.708833494748756
-0.9815,1.706836892743252
-0.98125,1.7058385917405
-0.981,1.725471844794619
-0.98075,1.739448058833145
-0.9805,1.739448058833145
-0.98025,1.737784223828558
-0.98,1.755753641878091
-0.97975,1.771393690921203
-0.9795,1.769729855916616
-0.97925,1.772059224923037
-0.979,1.786035438961562
-0.97875,1.796683982990915
-0.9785,1.795352914987246
-0.97825,1.795020147986329
-0.978,1.810992964030358
-0.97775,1.831291751086311
-0.9775,1.833953887093649
-0.97725,1.829960683082642
-0.977,1.840276460111077
-0.97675,1.850259470138595
-0.9765,1.849926703137678
-0.97625,1.851257771141348
-0.976,1.857913111159693
-0.97575,1.870558257194549
-0.9755,1.867896121187211
-0.97525,1.869892723192715
-0.975,1.873553160202805
-0.97475,1.878544665216564
-0.9745,1.879542966219315
-0.9742499999999999,1.879875733220233
-0.974,1.882537869227571
-0.97375,1.890857044250503
-0.9735,1.888194908243164
-0.9732499999999999,1.890524277249585
-0.973,1.896514083266096
-0.97275,1.901838355280772
-0.9725,1.900507287277103
-0.9722499999999999,1.901172821278938
-0.972,1.90217112228169
-0.97175,1.904833258289028
-0.9715,1.90583155929178
-0.9712499999999999,1.907162627295449
-0.971,1.90583155929178
-0.97075,1.906829860294532
-0.9705,1.910823064305539
-0.9702499999999999,1.909159229300952
-0.97,1.908826462300035
-0.96975,1.905166025289945
-0.9695,1.905498792290862
-0.9692499999999999,1.904833258289028
-0.969,1.904833258289028
-0.96875,1.901172821278938
-0.9685,1.902836656283524
-0.9682500000000001,1.90217112228169
-0.968,1.90217112228169
-0.96775,1.896181316265179
-0.9675,1.893519180257841
-0.9672500000000001,1.892188112254172
-0.967,1.888860442244999
-0.96675,1.882537869227571
-0.9665,1.881872335225736
