#Sample rate: 4000Hz
#Samples: 8000

Time (s),Channel 1 (V)
-1,1.543448295292873
-0.99975,1.544446596295624
-0.9995000000000001,1.542449994290121
-0.99925,1.565410917353412
-0.999,1.618986404501093
-0.99875,1.6229796085121
-0.9985000000000001,1.619651938502927
-0.99825,1.635957521547874
-0.998,1.691862377701975
-0.99775,1.695190047711148
-0.9975000000000001,1.694524513709313
-0.99725,1.708833494748756
-0.997,1.755088107876256
-0.99675,1.754755340875339
-0.9965000000000001,1.753757039872587
-0.99625,1.763407282899188
-0.996,1.811325731031275
-0.99575,1.80833082802302
-0.9955000000000001,1.810992964030358
-0.99525,1.815318935042282
-0.995,1.85092500414043
-0.99475,1.851923305143182
-0.9945000000000001,1.854252674149603
-0.99425,1.854918208151437
-0.994,1.883203403229405
-0.99375,1.881539568224819
-0.9935,1.880874034222984
-0.99325,1.884534471233074
-0.993,1.899841753275269
-0.99275,1.903169423284442
-0.9925,1.901505588279855
-0.99225,1.901505588279855
-0.992,1.910490297304622
-0.99175,1.910490297304622
-0.9915,1.910157530303704
-0.99125,1.907162627295449
-0.991,1.897845151269765
-0.99075,1.895515782263344
-0.9905,1.897512384268848
-0.99025,1.897179617267931
-0.99,1.87654806321106
-0.98975,1.874884228206473
-0.9895,1.874551461205556
-0.98925,1.876215296210143
-0.989,1.844935198123919
-0.98875,1.843936897121167
-0.9885,1.83994369311016
-0.98825,1.843936897121167
-0.988,1.809994663027606
-0.98775,1.79734951699275
-0.9875,1.797016749991832
-0.98725,1.799678885999171
-0.987,1.754422573874422
-0.98675,1.740779126836814
-0.9865,1.742110194840483
-0.98625,1.740446359835897
-0.986,1.696521115714817
-0.98575,1.674558493654277
-0.9855,1.675889561657946
-0.98525,1.678551697665284
-0.985,1.627971113525859
-0.98475,1.602680821456147
-0.9845,1.602348054455229
-0.98425,1.599685918447891
-0.984,1.553764072321308
-0.98375,1.523149508236919
-0.9835,1.524147809239671
-0.98325,1.524813343241505
-0.983,1.475896594106667
-0.98275,1.439624991006684
-0.9825,1.441954360013105
-0.98225,1.439957758007601
-0.982,1.394035911881018
-0.98175,1.347781298753518
-0.9815,1.3474485317526
-0.98125,1.35110896876269
-0.981,1.305519889637024
-0.98075,1.259265276509524
-0.9805,1.258266975506772
-0.98025,1.259598043510441
-0.98,1.220331537402203
-0.97975,1.171082021266447
-0.9795,1.170083720263695
-0.97925,1.171414788267364
-0.979,1.133146583161878
-0.97875,1.079238329013281
-0.9785,1.077907261009611
-0.97825,1.079238329013281
-0.978,1.048290997927974
-0.97775,0.9903895397683693
-0.9775,0.9920533747729556
-0.97725,0.9930516757757074
-0.977,0.9694252187105813
-0.97675,0.9151841975610662
-0.9765,0.9175135665674871
-0.97625,0.9188446345711562
-0.976,0.8975475465124509
-0.97575,0.8419754573592668
-0.9755,0.8433065253629358
-0.97525,0.8436392923638532
-0.975,0.8293303113244105
-0.97475,0.7760875911776473
-0.9745,0.7787497271849855
-0.9742499999999999,0.7774186591813164
-0.974,0.7690994841583846
-0.97375,0.7208482690253804
-0.9735,0.7211810360262976
-0.9732499999999999,0.7165222980134558
-0.973,0.7151912300097868
-0.97275,0.6745936558978798
-0.9725,0.6759247239015489
-0.9722499999999999,0.6752591898997143
-0.972,0.6709332188877899
-0.97175,0.6423152568089046
-0.9715,0.6443118588144082
-0.9712499999999999,0.6406514218043182
-0.971,0.6416497228070701
-0.97075,0.6190215667446957
-0.9705,0.6203526347483648
-0.9702499999999999,0.6223492367538683
-0.97,0.6193543337456129
-0.96975,0.6090385567171777
-0.9695,0.6113679257235984
-0.9692499999999999,0.610702391721764
-0.969,0.610702391721764
-0.96875,0.612033459725433
-0.9685,0.6130317607281848
-0.9682500000000001,0.6133645277291021
-0.968,0.612033459725433
-0.96775,0.6266752077657929
-0.9675,0.6293373437731311
-0.9672500000000001,0.6326650137823038
-0.967,0.6300028777749656
-0.96675,0.6546276358428436
-0.9665,0.662614043864858
-0.9662500000000001,0.6592863738556853
-0.966,0.65995190785752
-0.96575,0.7042099189795168
-0.9655,0.7115307929996968
-0.9652500000000001,0.7128618610033659
-0.965,0.7115307929996968
-0.96475,0.7577854061271974
-0.9645,0.76843395015655
-0.9642500000000001,0.7661045811501291
-0.964,0.7671028821528809
-0.96375,0.8093642912693743
-0.9635,0.8323252143326659
-0.9632500000000001,0.8333235153354177
-0.963,0.8309941463289968
-0.96275,0.8762504584537456
-0.9625,0.8988786145161199
-0.96225,0.8978803135133682
-0.962,0.8982130805142854
-0.96175,0.9411400236326133
-0.9615,0.9670958497041604
-0.96125,0.9631026456931531
-0.961,0.9637681796949876
-0.96075,1.021669637854593
-0.9605,1.063598279970169
-0.96025,1.060936143962831
-0.96,1.061934444965582
-0.95975,1.108521825094
-0.9595,1.151448768212328
-0.95925,1.150117700208659
-0.959,1.151116001211411
-0.95875,1.186056536307724
-0.9585,1.232311149435225
-0.95825,1.229316246426969
-0.958,1.229316246426969
-0.95775,1.271577655543463
-0.9575,1.326816977695729
-0.95725,1.328813579701233
-0.957,1.330144647704902
-0.95675,1.360759211789291
-0.9565,1.41699683494431
-0.95625,1.415665766940641
-0.956,1.415332999939723
-0.95575,1.445947564024112
-0.9555,1.501519653177296
-0.95525,1.501186886176379
-0.955,1.501852420178214
-0.95475,1.526809945247009
-0.9545,1.584378636405697
-0.95425,1.581050966396524
-0.954,1.582049267399276
-0.95375,1.602015287454312
-0.9535,1.657920143608413
-0.95325,1.657920143608413
-0.953,1.658585677610248
-0.95275,1.67422572665336
-0.9525,1.723808009790033
-0.95225,1.723808009790033
-0.952,1.727468446800123
-0.95175,1.736120388823972
-0.9515,1.785369904959728
-0.95125,1.786035438961562
-0.951,1.783373302954224
-0.95075,1.790694176974404
-0.9505,1.831624518087228
-0.95025,1.83262281908998
-0.95,1.829960683082642
-0.94975,1.834286654094567
-0.9495,1.867230587185376
-0.94925,1.866897820184459
-0.949,1.867230587185376
-0.94875,1.867563354186294
-0.9485,1.89118981125142
-0.94825,1.893851947258758
-0.948,1.894517481260593
-0.94775,1.893851947258758
-0.9475,1.90583155929178
-0.94725,1.906829860294532
-0.947,1.908160928298201
-0.94675,1.907162627295449
-0.9465,1.905498792290862
-0.94625,1.906829860294532
-0.946,1.905166025289945
-0.94575,1.90583155929178
-0.9455,1.894517481260593
-0.94525,1.895515782263344
-0.945,1.89485024826151
-0.94475,1.894184714259675
-0.9445,1.87288762620097
-0.94425,1.868561655189045
-0.944,1.870225490193632
-0.94375,1.871223791196384
-0.9435,1.83994369311016
-0.94325,1.82896238207989
-0.9429999999999999,1.829627916081725
-0.94275,1.831291751086311
-0.9425,1.792025244978073
-0.94225,1.780045632945052
-0.9419999999999999,1.781709467949638
-0.94175,1.782042234950555
-0.9415,1.730130582807461
-0.94125,1.708500727747838
-0.9409999999999999,1.707169659744169
-0.94075,1.711162863755177
-0.9405,1.658252910609331
-0.94025,1.631298783535032
-0.9399999999999999,1.632297084537784
-0.93975,1.63396091954237
-0.9395,1.586708005412118
-0.93925,1.567074752357999
-0.9389999999999999,1.564079849349743
-0.93875,1.56574368435433
-0.9385,1.517492469221325
-0.93825,1.482551934125012
-0.9379999999999999,1.483217468126846
-0.93775,1.483550235127764
-0.9375,1.436630087998429
-0.93725,1.397696348891108
-0.9370000000000001,1.39503421288377
-0.93675,1.396365280887439
-0.9365,1.349112366757187
-0.93625,1.304188821633355
-0.9360000000000001,1.303523287631521
-0.93575,1.305519889637024
-0.9355,1.264256781523283
-0.93525,1.214008964384775
-0.9350000000000001,1.211346828377437
-0.93475,1.214008964384775
-0.9345,1.177071827282958
-0.93425,1.121499738129774
-0.9340000000000001,1.122830806133443
-0.93375,1.123496340135277
-0.9335,1.090885174045385
-0.93325,1.036311385894953
-0.9330000000000001,1.035978618894035
-0.93275,1.036976919896787
-0.9325,1.009690025821571
-0.93225,0.9547834706702214
-0.9320000000000001,0.955449004672056
-0.93175,0.9551162376711386
-0.9315,0.9331536156105988
-0.93125,0.8792453614620011
-0.931,0.8789125944610837
-0.93075,0.8789125944610837
-0.9305,0.8639380794198066
-0.93025,0.8130247282794643
-0.93,0.8093642912693743
-0.92975,0.8093642912693743
-0.9295,0.7990485142409389
-0.92925,0.7458057940941756
-0.929,0.7454730270932584
-0.92875,0.7448074930914239
-0.9285,0.7391504540758302
-0.92825,0.6958907439565851
-0.928,0.6988856469648406
-0.92775,0.7005494819694269
-0.9275,0.6928958409483297
-0.92725,0.6556259368455954
-0.927,0.6532965678391744
-0.92675,0.6562914708474299
-0.9265,0.6539621018410091
-0.92625,0.6290045767722138
-0.926,0.6293373437731311
-0.92575,0.6296701107740483
-0.9255,0.6290045767722138
-0.92525,0.6110351587226812
-0.925,0.6146955957327711
-0.92475,0.6123662267263503
-0.9245,0.6136972947300194
-0.92425,0.6110351587226812
-0.924,0.6103696247208467
-0.92375,0.6087057897162603
-0.9235,0.610702391721764
-0.92325,0.6240130717584547
-0.923,0.6213509357511166
-0.92275,0.624345838759372
-0.9225,0.6220164697529511
-0.92225,0.64531015981716
-0.922,0.6509671988327537
-0.92175,0.6469739948217463
-0.9215,0.6479722958244982
-0.92125,0.6785868599088871
-0.921,0.6842438989244807
-0.92075,0.6875715689336533
-0.9205,0.6869060349318188
-0.92025,0.7231776380318014
-0.92,0.7334934150602366
-0.91975,0.7318295800556502
-0.9195,0.7328278810584021
-0.91925,0.7754220571758127
-0.919,0.7877344362097517
-0.91875,0.789398271214338
-0.9185,0.7887327372125035
-0.91825,0.8393133213519286
-0.918,0.8629397784170547
-0.91775,0.8589465744060476
-0.9175,0.8612759434124684
-0.91725,0.9098599255463899
-0.917,0.9374795866225233
-0.91675,0.9384778876252752
-0.9165,0.9341519166133506
-0.91625,0.9820703647454375
-0.916,1.011686627827075
-0.91575,1.010355559823406
-0.9155,1.010355559823406
-0.91525,1.061601677964665
-0.915,1.105859689086662
-0.91475,1.104528621082993
-0.9145,1.103197553079324
-0.91425,1.149452166206824
-0.914,1.192046342324235
-0.91375,1.19271187632607
-0.9135,1.189716973317814
-0.91325,1.234640518441646
-0.913,1.279896830566394
-0.91275,1.282558966573732
-0.9125,1.281560665570981
-0.91225,1.32182547268197
-0.912,1.372073289820478
-0.9117499999999999,1.373737124825065
-0.9115,1.373404357824147
-0.91125,1.405349989912205
-0.911,1.462253147069059
-0.9107499999999999,1.460256545063555
-0.9105,1.456928875054382
-0.91025,1.488541740141523
-0.91,1.546443198301128
-0.9097499999999999,1.544779363296541
-0.9095,1.544779363296541
-0.90925,1.567074752357999
-0.909,1.621648540508431
-0.9087499999999999,1.621648540508431
-0.9085,1.620983006506596
-0.90825,1.64128179356255
-0.908,1.694191746708396
-0.9077499999999999,1.694524513709313
-0.9075,1.692860678704727
-0.90725,1.704840290737748
-0.907,1.755088107876256
-0.9067499999999999,1.755753641878091
-0.9065,1.754755340875339
-0.90625,1.762741748897354
-0.906,1.81066019702944
-0.9057500000000001,1.810327430028523
-0.9055,1.811325731031275
-0.90525,1.813655100037696
-0.905,1.852256072144099
-0.9047500000000001,1.854252674149603
-0.9045,1.851923305143182
-0.90425,1.854918208151437
-0.904,1.882205102226654
-0.9037500000000001,1.881872335225736
-0.9035,1.881872335225736
-0.90325,1.882205102226654
-0.903,1.899841753275269
-0.9027500000000001,1.899841753275269
-0.9025,1.899176219273434
-0.90225,1.902503889282607
-0.902,1.905166025289945
-0.9017500000000001,1.905166025289945
-0.9015,1.904167724287193
-0.90125,1.903502190285359
-0.901,1.897512384268848
-0.9007500000000001,1.899176219273434
-0.9005,1.899508986274351
-0.90025,1.8985106852716
-0.9,1.875216995207391
-0.89975,1.871556558197301
-0.8995,1.872222092199135
-0.89925,1.874551461205556
-0.899,1.844935198123919
-0.89875,1.840941994112912
-0.8985,1.83994369311016
-0.89825,1.839610926109243
-0.898,1.805003158013847
-0.89775,1.795352914987246
-0.8975,1.795685681988163
-0.89725,1.798680584996419
-0.897,1.754755340875339
-0.89675,1.740779126836814
-0.8965,1.741444660838648
-0.89625,1.740446359835897
-0.896,1.696521115714817
-0.89575,1.678218930664367
-0.8955,1.676222328658863
-0.89525,1.675224027656111
-0.895,1.62664004552219
-0.89475,1.602348054455229
-0.8945,1.599020384446057
-0.89425,1.603679122458898
-0.894,1.551434703314887
-0.89375,1.520154605228663
-0.8935,1.521152906231415
-0.89325,1.522151207234167
-0.893,1.47423275910208
-0.89275,1.440956059010353
-0.8925,1.441621593012188
-0.89225,1.438293923003015
-0.892,1.392704843877349
-0.89175,1.350776201761773
-0.8915,1.349445133758104
-0.89125,1.348446832755352
-0.891,1.306850957640693
-0.89075,1.259265276509524
-0.8905,1.259265276509524
-0.89025,1.258599742507689
-0.89,1.219666003400369
-0.88975,1.167754351257274
-0.8895,1.169750953262778
-0.88925,1.169085419260943
-0.889,1.131815515158209
-0.88875,1.076243426005025
-0.8885,1.077907261009611
-0.88825,1.078240028010529
-0.888,1.047958230927057
-0.88775,0.9933844427766247
-0.8875,0.9947155107802939
-0.88725,0.9927189087747902
-0.887,0.9697579857114985
-0.88675,0.9145186635592317
-0.8865,0.9185118675702389
-0.88625,0.9155169645619835
-0.886,0.8955509445069473
-0.88575,0.8443048263656876
-0.8855,0.8419754573592668
-0.88525,0.8443048263656876
-0.885,0.8303286123271623
-0.88475,0.7754220571758127
-0.8845,0.7767531251794818
-0.88425,0.7780841931831508
-0.884,0.7654390471482946
-0.88375,0.7208482690253804
-0.8835,0.7185189000189596
-0.88325,0.7208482690253804
-0.883,0.7145256960079522
-0.88275,0.673595354895128
-0.8825,0.6712659858887071
-0.88225,0.6719315198905417
-0.882,0.673595354895128
-0.88175,0.6409841888052354
-0.8815,0.6436463248125737
-0.88125,0.6406514218043182
-0.881,0.6406514218043182
-0.88075,0.6200198677474476
-0.8804999999999999,0.6193543337456129
-0.88025,0.6226820037547857
-0.88,0.620685401749282
-0.87975,0.6110351587226812
-0.8794999999999999,0.6090385567171777
-0.87925,0.6113679257235984
-0.879,0.612033459725433
-0.87875,0.6117006927245157
-0.8784999999999999,0.6143628287318539
-0.87825,0.6140300617309367
-0.878,0.6140300617309367
-0.87775,0.6290045767722138
-0.8774999999999999,0.628006275769462
-0.87725,0.6300028777749656
-0.877,0.6263424407648757
-0.87675,0.6529638008382572
-0.8764999999999999,0.6566242378483472
-0.87625,0.657622538851099
-0.876,0.6609502088602717
-0.87575,0.7002167149685097
-0.8754999999999999,0.7085358899914413
-0.87525,0.7101997249960277
-0.875,0.7108652589978623
-0.87475,0.7531266681143556
-0.8745000000000001,0.7664373481510465
-0.87425,0.7651062801473774
-0.874,0.7677684161547155
-0.87375,0.8113608932748779
-0.8735000000000001,0.8306613793280796
-0.87325,0.8309941463289968
-0.873,0.8296630783253278
-0.87275,0.8779142934583319
-0.8725000000000001,0.8982130805142854
-0.87225,0.8975475465124509
-0.872,0.8995441485179545
-0.87175,0.9448004606427033
-0.8715000000000001,0.9697579857114985
-0.87125,0.9714218207160848
-0.871,0.9704235197133331
-0.87075,1.017676433843586
-0.8705000000000001,1.052616968939899
-0.87025,1.051618667937147
-0.87,1.051951434938064
-0.86975,1.103530320080241
-0.8695000000000001,1.149452166206824
-0.86925,1.150783234210494
-0.869,1.151448768212328
-0.86875,1.191713575323318
-0.8685,1.235638819444397
-0.86825,1.237302654448984
-0.868,1.235971586445315
-0.86775,1.277567461559973
-0.8675,1.328148045699399
-0.86725,1.328148045699399
-0.867,1.329811880703985
-0.86675,1.360759211789291
-0.8665,1.417329601945227
-0.86625,1.418327902947979
-0.866,1.418327902947979
-0.86575,1.446945865026864
-0.8655,1.5035162551828
-0.86525,1.502850721180966
-0.865,1.501852420178214
-0.86475,1.528473780251595
-0.8645,1.583047568402028
-0.86425,1.584378636405697
-0.864,1.583713102403862
-0.86375,1.604011889459816
-0.8635,1.657254609606579
-0.86325,1.658585677610248
-0.863,1.658918444611165
-0.86275,1.673560192651525
-0.8625,1.724473543791867
-0.86225,1.726137378796454
-0.862,1.724806310792785
-0.86175,1.737451456827641
-0.8615,1.786035438961562
-0.86125,1.784371603956976
-0.861,1.784038836956059
-0.86075,1.792358011978991
-0.8605,1.830626217084477
-0.86025,1.833621120092732
-0.86,1.832290052089063
-0.85975,1.835617722098236
-0.8595,1.866897820184459
-0.85925,1.865899519181707
-0.859,1.871889325198218
-0.85875,1.866897820184459
-0.8585,1.895848549264262
-0.85825,1.894517481260593
-0.858,1.893186413256923
-0.85775,1.89485024826151
-0.8575,1.905166025289945
-0.85725,1.906164326292697
-0.857,1.907162627295449
-0.85675,1.907495394296366
-0.8565,1.904500491288111
-0.85625,1.904833258289028
-0.856,1.90583155929178
-0.85575,1.907828161297283
-0.8555,1.896846850267013
-0.85525,1.893851947258758
-0.855,1.892520879255089
-0.85475,1.893186413256923
-0.8545,1.867563354186294
-0.85425,1.867896121187211
-0.854,1.868228888188128
-0.85375,1.869559956191797
-0.8535,1.838612625106491
-0.85325,1.831624518087228
-0.853,1.831624518087228
-0.85275,1.83262281908998
-0.8525,1.797016749991832
-0.85225,1.78270776895239
-0.852,1.787366506965232
-0.85175,1.787699273966149
-0.8515,1.736120388823972
-0.85125,1.715156067766184
-0.851,1.713492232761598
-0.85075,1.715821601768019
-0.8505,1.662246114620338
-0.85025,1.638286890554294
-0.85,1.636955822550625
-0.84975,1.636623055549708
-0.8495,1.587706306414869
-0.8492499999999999,1.565078150352495
-0.849,1.561084946341488
-0.84875,1.562748781346074
-0.8485,1.516161401217656
-0.8482499999999999,1.485546837133267
-0.848,1.483217468126846
-0.84775,1.482219167124095
-0.8475,1.434633485992925
-0.8472499999999999,1.396032513886522
-0.847,1.396698047888356
