#Start: 100 Hz
#Stop: 10000 Hz
#Steps: 1001
Frequency (Hz),Channel 1 Magnitude (dB)
100,0.04159194988370974
100.4615790278395,0.04172173372533566
100.9252886076684,0.04239198955726853
101.3911385736679,0.0426399922831973
101.8591388054117,0.04270373374757985
102.3292992280754,0.04302334556590879
102.8016298126473,0.04311382078874956
103.2761405761398,0.04371395327310436
103.7528415818013,0.04395853007480756
104.2317429393304,0.04409454767764775
104.71285480509,0.04458655976508485
105.1961873823223,0.04466779611228321
105.6817509213659,0.04512411784896118
106.1695557198725,0.04540848372096032
106.6596121230258,0.04566496154808058
107.1519305237607,0.04576924124362802
107.6465213629835,0.04637426060094075
108.1433951297938,0.0466135824455367
108.6425623617066,0.04708718872088714
109.1440336448757,0.04708448115363071
109.6478196143185,0.04717784596113768
110.1539309541415,0.04743808184392083
110.6623783977666,0.0480411160185698
111.1731727281591,0.04831842663233171
111.6863247780561,0.04874901109019548
112.2018454301964,0.04867499066860417
112.719745617551,0.04926472449605473
113.2400363235557,0.04964817727150101
113.7627285823431,0.05011353345332972
114.2878334789772,0.05013516078265484
114.8153621496883,0.05076641832654377
115.3453257821092,0.05127548497640788
115.8777356155126,0.05167772573328927
116.4126029410491,0.05180744897519307
116.9499391019871,0.0525313021625723
117.489755493953,0.05226309553649208
118.032063565173,0.05310003911187326
118.576874816716,0.05326301368568271
119.1242008027375,0.05374396646202213
119.6740531307244,0.0540406558723695
120.2264434617413,0.05408105999900177
120.781383510678,0.05474046548637895
121.3388850464977,0.05536429823617377
121.8989598924867,0.05558787013493578
122.4616199265049,0.05599713120528575
123.0268770812382,0.05645808474368098
123.5947433444511,0.05661868293410307
124.1652307592411,0.05716758113502404
124.7383514242943,0.05742564842114103
125.3141174941416,0.05787512150279839
125.8925411794168,0.05821523076597353
126.4736347471152,0.05859381774077323
127.0574105208542,0.05890382840330548
127.6438808811344,0.05983124005404029
128.2330582656022,0.06028321182094798
128.8249551693134,0.06062897127216232
129.4195841449986,0.06117501224495113
